TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
GSW,11/07/2016,GSW vs. NOP,W,241,116,10
DEN,11/08/2016,DEN @ MEM,L,240,107,-1
LAL,11/08/2016,LAL vs. DAL,L,239,97,-12
MIN,11/08/2016,MIN @ BKN,L,239,110,-9
POR,11/08/2016,POR vs. PHX,W,240,124,3
BKN,11/08/2016,BKN vs. MIN,W,241,119,9
CLE,11/08/2016,CLE vs. ATL,L,240,106,-4
ATL,11/08/2016,ATL @ CLE,W,241,110,4
NOP,11/08/2016,NOP @ SAC,L,241,94,-8
MEM,11/08/2016,MEM vs. DEN,W,240,108,1
DAL,11/08/2016,DAL @ LAL,W,240,109,12
SAC,11/08/2016,SAC vs. NOP,W,241,102,8
PHX,11/08/2016,PHX @ POR,L,239,121,-3
OKC,11/09/2016,OKC vs. TOR,L,240,102,-10
NYK,11/09/2016,NYK vs. BKN,W,239,110,14
LAC,11/09/2016,LAC vs. POR,W,239,111,31
BKN,11/09/2016,BKN @ NYK,L,241,96,-14
TOR,11/09/2016,TOR @ OKC,W,240,112,10
ATL,11/09/2016,ATL vs. CHI,W,240,115,8
CHI,11/09/2016,CHI @ ATL,L,240,107,-8
SAS,11/09/2016,SAS vs. HOU,L,241,99,-2
CHA,11/09/2016,CHA vs. UTA,W,240,104,6
PHX,11/09/2016,PHX vs. DET,W,240,107,7
UTA,11/09/2016,UTA @ CHA,L,239,98,-6
POR,11/09/2016,POR @ LAC,L,240,80,-31
MIN,11/09/2016,MIN @ ORL,W,239,123,16
IND,11/09/2016,IND vs. PHI,W,265,122,7
GSW,11/09/2016,GSW vs. DAL,W,241,116,21
HOU,11/09/2016,HOU @ SAS,W,240,101,2
ORL,11/09/2016,ORL vs. MIN,L,239,107,-16
BOS,11/09/2016,BOS @ WAS,L,239,93,-25
WAS,11/09/2016,WAS vs. BOS,W,240,118,25
DAL,11/09/2016,DAL @ GSW,L,239,95,-21
DET,11/09/2016,DET @ PHX,L,240,100,-7
PHI,11/09/2016,PHI @ IND,L,265,115,-7
GSW,11/10/2016,GSW @ DEN,W,241,125,24
SAC,11/10/2016,SAC vs. LAL,L,241,91,-10
MIL,11/10/2016,MIL vs. NOP,L,240,106,-6
NOP,11/10/2016,NOP @ MIL,W,240,112,6
MIA,11/10/2016,MIA vs. CHI,L,241,95,-3
DEN,11/10/2016,DEN vs. GSW,L,238,101,-24
LAL,11/10/2016,LAL @ SAC,W,241,101,10
CHI,11/10/2016,CHI @ MIA,W,241,98,3
TOR,11/11/2016,TOR @ CHA,W,242,113,2
BOS,11/11/2016,BOS vs. NYK,W,240,115,28
DET,11/11/2016,DET @ SAS,L,241,86,-10
ORL,11/11/2016,ORL vs. UTA,L,240,74,-13
CLE,11/11/2016,CLE @ WAS,W,241,105,11
POR,11/11/2016,POR vs. SAC,W,266,122,2
OKC,11/11/2016,OKC vs. LAC,L,239,108,-2
UTA,11/11/2016,UTA @ ORL,W,239,87,13
SAS,11/11/2016,SAS vs. DET,W,240,96,10
SAC,11/11/2016,SAC @ POR,L,267,120,-2
PHI,11/11/2016,PHI vs. IND,W,265,109,4
LAC,11/11/2016,LAC @ OKC,W,239,110,2
WAS,11/11/2016,WAS vs. CLE,L,241,94,-11
NYK,11/11/2016,NYK @ BOS,L,239,87,-28
IND,11/11/2016,IND @ PHI,L,264,105,-4
CHA,11/11/2016,CHA vs. TOR,L,239,111,-2
LAC,11/12/2016,LAC @ MIN,W,240,119,14
CHI,11/12/2016,CHI vs. WAS,W,240,106,11
HOU,11/12/2016,HOU vs. SAS,L,239,100,-6
PHX,11/12/2016,PHX vs. BKN,L,241,104,-18
DEN,11/12/2016,DEN vs. DET,L,240,95,-11
TOR,11/12/2016,TOR vs. NYK,W,240,118,11
SAS,11/12/2016,SAS @ HOU,W,240,106,6
MEM,11/12/2016,MEM @ MIL,L,241,96,-10
UTA,11/12/2016,UTA @ MIA,W,239,102,11
IND,11/12/2016,IND vs. BOS,L,240,99,-6
LAL,11/12/2016,LAL @ NOP,W,240,126,27
PHI,11/12/2016,PHI @ ATL,L,240,96,-21
ATL,11/12/2016,ATL vs. PHI,W,238,117,21
BOS,11/12/2016,BOS @ IND,W,240,105,6
MIN,11/12/2016,MIN vs. LAC,L,238,105,-14
NOP,11/12/2016,NOP vs. LAL,L,240,99,-27
BKN,11/12/2016,BKN @ PHX,W,242,122,18
MIA,11/12/2016,MIA vs. UTA,L,240,91,-11
DET,11/12/2016,DET @ DEN,W,239,106,11
MIL,11/12/2016,MIL vs. MEM,W,240,106,10
NYK,11/12/2016,NYK @ TOR,L,241,107,-11
WAS,11/12/2016,WAS @ CHI,L,240,95,-11
MIN,11/13/2016,MIN vs. LAL,W,241,125,26
PHX,11/13/2016,PHX @ GSW,L,239,120,-13
ORL,11/13/2016,ORL @ OKC,W,242,119,2
CLE,11/13/2016,CLE vs. CHA,W,241,100,7
DEN,11/13/2016,DEN @ POR,L,242,105,-7
POR,11/13/2016,POR vs. DEN,W,239,112,7
GSW,11/13/2016,GSW vs. PHX,W,240,133,13
LAL,11/13/2016,LAL @ MIN,L,240,99,-26
OKC,11/13/2016,OKC vs. ORL,L,241,117,-2
CHA,11/13/2016,CHA @ CLE,L,240,93,-7
BKN,11/14/2016,BKN @ LAC,L,240,95,-32
SAS,11/14/2016,SAS vs. MIA,W,239,94,4
HOU,11/14/2016,HOU vs. PHI,W,240,115,27
BOS,11/14/2016,BOS @ NOP,L,238,105,-1
ORL,11/14/2016,ORL @ IND,L,239,69,-19
NOP,11/14/2016,NOP vs. BOS,W,239,106,1
NYK,11/14/2016,NYK vs. DAL,W,239,93,16
MEM,11/14/2016,MEM @ UTA,W,240,102,6
IND,11/14/2016,IND vs. ORL,W,239,88,19
MIA,11/14/2016,MIA @ SAS,L,240,90,-4
OKC,11/14/2016,OKC @ DET,L,240,88,-16
DET,11/14/2016,DET vs. OKC,W,240,104,16
PHI,11/14/2016,PHI @ HOU,L,241,88,-27
UTA,11/14/2016,UTA vs. MEM,L,240,96,-6
LAC,11/14/2016,LAC vs. BKN,W,240,127,32
DAL,11/14/2016,DAL @ NYK,L,239,77,-16
ATL,11/15/2016,ATL @ MIA,W,241,93,3
MIN,11/15/2016,MIN vs. CHA,L,240,108,-7
CHI,11/15/2016,CHI @ POR,W,239,113,25
LAL,11/15/2016,LAL vs. BKN,W,240,125,7
BKN,11/15/2016,BKN @ LAL,L,239,118,-7
POR,11/15/2016,POR vs. CHI,L,240,88,-25
CLE,11/15/2016,CLE vs. TOR,W,240,121,4
TOR,11/15/2016,TOR @ CLE,L,240,117,-4
MIA,11/15/2016,MIA vs. ATL,L,240,90,-3
CHA,11/15/2016,CHA @ MIN,W,241,115,7
PHI,11/16/2016,PHI vs. WAS,W,239,109,7
CLE,11/16/2016,CLE @ IND,L,239,93,-10
MEM,11/16/2016,MEM @ LAC,W,240,111,4
ATL,11/16/2016,ATL vs. MIL,W,239,107,7
PHX,11/16/2016,PHX @ DEN,L,239,104,-16
MIL,11/16/2016,MIL @ ATL,L,239,100,-7
