Andre Drummond,DET,10/18/2017,DET vs. CHA,W,22,8,8
Jayson Tatum,BOS,10/18/2017,BOS vs. MIL,L,37,8,-15
Allen Crabbe,BKN,10/18/2017,BKN @ IND,L,27,12,4
Jeff Teague,MIN,10/18/2017,MIN @ SAS,L,25,11,-17
Dewayne Dedmon,ATL,10/18/2017,ATL @ DAL,W,26,9,-2
Jake Layman,POR,10/18/2017,POR @ PHX,W,12,3,5
Dante Cunningham,NOP,10/18/2017,NOP @ MEM,L,26,7,-8
Tyreke Evans,MEM,10/18/2017,MEM vs. NOP,W,20,11,8
Bam Adebayo,MIA,10/18/2017,MIA @ ORL,L,6,0,3
Demetrius Jackson,HOU,10/18/2017,HOU @ SAC,W,10,0,4
Jamal Crawford,MIN,10/18/2017,MIN @ SAS,L,24,10,5
Greg Monroe,MIL,10/18/2017,MIL @ BOS,W,17,10,10
Caris LeVert,BKN,10/18/2017,BKN @ IND,L,28,12,-2
Tim Frazier,WAS,10/18/2017,WAS vs. PHI,W,13,0,-12
Otto Porter Jr.,WAS,10/18/2017,WAS vs. PHI,W,33,10,14
Andrew Wiggins,MIN,10/18/2017,MIN @ SAS,L,30,26,-19
Justise Winslow,MIA,10/18/2017,MIA @ ORL,L,23,10,-13
Dion Waiters,MIA,10/18/2017,MIA @ ORL,L,38,15,-6
Jason Smith,WAS,10/18/2017,WAS vs. PHI,W,7,0,4
Goran Dragic,MIA,10/18/2017,MIA @ ORL,L,31,17,-9
Nikola Jokic,DEN,10/18/2017,DEN @ UTA,L,36,7,-9
Stanley Johnson,DET,10/18/2017,DET vs. CHA,W,40,2,6
Troy Daniels,PHX,10/18/2017,PHX vs. POR,L,21,6,-32
Alec Burks,UTA,10/18/2017,UTA vs. DEN,W,15,16,16
Eric Bledsoe,PHX,10/18/2017,PHX vs. POR,L,29,15,-41
Cory Joseph,IND,10/18/2017,IND vs. BKN,W,25,11,7
Shabazz Muhammad,MIN,10/18/2017,MIN @ SAS,L,14,2,11
Tony Snell,MIL,10/18/2017,MIL @ BOS,W,29,5,-4
Malcolm Brogdon,MIL,10/18/2017,MIL @ BOS,W,41,19,10
Mike Muscala,ATL,10/18/2017,ATL @ DAL,W,14,4,-5
LaMarcus Aldridge,SAS,10/18/2017,SAS vs. MIN,W,39,25,15
Jimmy Butler,MIN,10/18/2017,MIN @ SAS,L,35,12,-19
Tyson Chandler,PHX,10/18/2017,PHX vs. POR,L,23,4,-33
Derrick Jones Jr.,PHX,10/18/2017,PHX vs. POR,L,11,0,1
Gary Harris,DEN,10/18/2017,DEN @ UTA,L,36,14,0
E'Twaun Moore,NOP,10/18/2017,NOP @ MEM,L,34,11,0
Damian Lillard,POR,10/18/2017,POR @ PHX,W,30,27,34
Kyle Anderson,SAS,10/18/2017,SAS vs. MIN,W,30,12,1
Dennis Schroder,ATL,10/18/2017,ATL @ DAL,W,34,28,-3
Malachi Richardson,SAC,10/18/2017,SAC vs. HOU,L,6,0,-3
James Harden,HOU,10/18/2017,HOU @ SAC,W,38,27,1
James Ennis III,MEM,10/18/2017,MEM vs. NOP,W,19,5,-5
PJ Tucker,HOU,10/18/2017,HOU @ SAC,W,29,6,-1
Jeremy Lin,BKN,10/18/2017,BKN @ IND,L,25,18,-6
Tobias Harris,DET,10/18/2017,DET vs. CHA,W,34,27,10
Dirk Nowitzki,DAL,10/18/2017,DAL vs. ATL,L,24,10,-18
Devin Booker,PHX,10/18/2017,PHX vs. POR,L,27,12,-29
Justin Jackson,SAC,10/18/2017,SAC vs. HOU,L,19,5,-13
Frank Kaminsky,CHA,10/18/2017,CHA @ DET,L,23,4,-6
Clint Capela,HOU,10/18/2017,HOU @ SAC,W,28,22,9
Matthew Dellavedova,MIL,10/18/2017,MIL @ BOS,W,26,15,8
Joel Embiid,PHI,10/18/2017,PHI @ WAS,L,27,18,1
Ricky Rubio,UTA,10/18/2017,UTA vs. DEN,W,32,9,-14
Bryn Forbes,SAS,10/18/2017,SAS vs. MIN,W,0,0,-2
Kelly Oubre Jr.,WAS,10/18/2017,WAS vs. PHI,W,32,14,-4
Marcin Gortat,WAS,10/18/2017,WAS vs. PHI,W,34,16,16
Meyers Leonard,POR,10/18/2017,POR @ PHX,W,11,6,-1
Henry Ellenson,DET,10/18/2017,DET vs. CHA,W,16,13,4
Dwight Powell,DAL,10/18/2017,DAL vs. ATL,L,14,6,-4
Brandan Wright,MEM,10/18/2017,MEM vs. NOP,W,27,10,5
Manu Ginobili,SAS,10/18/2017,SAS vs. MIN,W,21,9,6
Dillon Brooks,MEM,10/18/2017,MEM vs. NOP,W,29,19,17
Karl-Anthony Towns,MIN,10/18/2017,MIN @ SAS,L,35,18,0
Mike James,PHX,10/18/2017,PHX vs. POR,L,11,12,1
Dwayne Bacon,CHA,10/18/2017,CHA @ DET,L,20,8,-15
Taj Gibson,MIN,10/18/2017,MIN @ SAS,L,27,6,-17
Dennis Smith Jr.,DAL,10/18/2017,DAL vs. ATL,L,30,16,3
Julyan Stone,CHA,10/18/2017,CHA @ DET,L,13,6,-1
Pat Connaughton,POR,10/18/2017,POR @ PHX,W,32,24,34
Chandler Parsons,MEM,10/18/2017,MEM vs. NOP,W,15,6,6
Evan Fournier,ORL,10/18/2017,ORL vs. MIA,W,34,23,2
Buddy Hield,SAC,10/18/2017,SAC vs. HOU,L,33,19,3
Victor Oladipo,IND,10/18/2017,IND vs. BKN,W,25,22,11
Taurean Prince,ATL,10/18/2017,ATL @ DAL,W,26,10,-5
Darren Collison,IND,10/18/2017,IND vs. BKN,W,30,21,8
Damyean Dotson,NYK,10/19/2017,NYK @ OKC,L,3,0,0
Willy Hernangomez,NYK,10/19/2017,NYK @ OKC,L,4,3,0
Kay Felder,CHI,10/19/2017,CHI @ TOR,L,16,6,3
Brook Lopez,LAL,10/19/2017,LAL vs. LAC,L,29,20,-1
Ron Baker,NYK,10/19/2017,NYK @ OKC,L,23,6,4
Wesley Johnson,LAC,10/19/2017,LAC @ LAL,W,20,9,5
Terrance Ferguson,OKC,10/19/2017,OKC vs. NYK,W,11,2,-1
Danilo Gallinari,LAC,10/19/2017,LAC @ LAL,W,33,11,19
Jonas Valanciunas,TOR,10/19/2017,TOR vs. CHI,W,31,23,-2
Fred VanVleet,TOR,10/19/2017,TOR vs. CHI,W,13,2,12
Kyle Kuzma,LAL,10/19/2017,LAL vs. LAC,L,19,8,-17
Paul Zipser,CHI,10/19/2017,CHI @ TOR,L,24,7,-15
Russell Westbrook,OKC,10/19/2017,OKC vs. NYK,W,33,21,29
Raymond Felton,OKC,10/19/2017,OKC vs. NYK,W,16,2,-12
Carmelo Anthony,OKC,10/19/2017,OKC vs. NYK,W,34,22,1
Patrick Beverley,LAC,10/19/2017,LAC @ LAL,W,24,10,20
Tyler Ennis,LAL,10/19/2017,LAL vs. LAC,L,10,2,14
Delon Wright,TOR,10/19/2017,TOR vs. CHI,W,23,13,21
Antonio Blakeney,CHI,10/19/2017,CHI @ TOR,L,1,2,4
Frank Ntilikina,NYK,10/19/2017,NYK @ OKC,L,8,0,-2
Larry Nance Jr.,LAL,10/19/2017,LAL vs. LAC,L,30,14,3
Josh Huestis,OKC,10/19/2017,OKC vs. NYK,W,3,0,0
Justin Holiday,CHI,10/19/2017,CHI @ TOR,L,35,15,1
CJ Miles,TOR,10/19/2017,TOR vs. CHI,W,20,22,25
Lonzo Ball,LAL,10/19/2017,LAL vs. LAC,L,29,3,-14
Serge Ibaka,TOR,10/19/2017,TOR vs. CHI,W,24,8,-4
Julius Randle,LAL,10/19/2017,LAL vs. LAC,L,18,9,-25
Lauri Markkanen,CHI,10/19/2017,CHI @ TOR,L,33,17,-2
Jerami Grant,OKC,10/19/2017,OKC vs. NYK,W,21,5,13
Pascal Siakam,TOR,10/19/2017,TOR vs. CHI,W,5,0,-7
Quincy Pondexter,CHI,10/19/2017,CHI @ TOR,L,12,8,-5
Sindarius Thornwell,LAC,10/19/2017,LAC @ LAL,W,3,3,-6
