PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Taurean Prince,ATL,12/03/2016,ATL @ TOR,L,9,2,-19
Troy Daniels,MEM,12/03/2016,MEM vs. LAL,W,34,31,8
Patrick Patterson,TOR,12/03/2016,TOR vs. ATL,W,21,17,21
Mike Muscala,ATL,12/03/2016,ATL @ TOR,L,24,7,-24
Lou Williams,LAL,12/03/2016,LAL @ MEM,L,32,40,1
Meyers Leonard,POR,12/03/2016,POR vs. MIA,W,19,5,6
Ed Davis,POR,12/03/2016,POR vs. MIA,W,26,4,-9
Allen Crabbe,POR,12/03/2016,POR vs. MIA,W,28,16,21
Juan Hernangomez,DEN,12/03/2016,DEN @ UTA,L,6,0,-5
Mike Scott,ATL,12/03/2016,ATL @ TOR,L,13,0,-31
Jonathan Gibson,DAL,12/03/2016,DAL vs. CHI,W,17,4,-2
John Jenkins,PHX,12/03/2016,PHX @ GSW,L,4,2,1
Wesley Matthews,DAL,12/03/2016,DAL vs. CHI,W,35,26,20
Alonzo Gee,DEN,12/03/2016,DEN @ UTA,L,4,0,-6
Jeremy Lamb,CHA,12/03/2016,CHA vs. MIN,L,12,6,-5
Joe Ingles,UTA,12/03/2016,UTA vs. DEN,W,27,8,7
Leandro Barbosa,PHX,12/03/2016,PHX @ GSW,L,6,0,-9
Jose Calderon,LAL,12/03/2016,LAL @ MEM,L,8,0,3
Rajon Rondo,CHI,12/03/2016,CHI @ DAL,L,24,2,-21
Marcus Smart,BOS,12/03/2016,BOS @ PHI,W,32,7,10
Ersan Ilyasova,PHI,12/03/2016,PHI vs. BOS,L,30,18,1
Joe Johnson,UTA,12/03/2016,UTA vs. DEN,W,17,7,0
Timofey Mozgov,LAL,12/03/2016,LAL @ MEM,L,27,13,-6
James Johnson,MIA,12/03/2016,MIA @ POR,L,17,2,-20
Hassan Whiteside,MIA,12/03/2016,MIA @ POR,L,41,28,5
Sean Kilpatrick,BKN,12/03/2016,BKN @ MIL,L,29,19,-12
Trey Lyles,UTA,12/03/2016,UTA vs. DEN,W,20,12,5
Alan Williams,PHX,12/03/2016,PHX @ GSW,L,4,2,1
Cory Joseph,TOR,12/03/2016,TOR vs. ATL,W,23,10,20
Malcolm Delaney,ATL,12/03/2016,ATL @ TOR,L,17,3,-11
Will Barton,DEN,12/03/2016,DEN @ UTA,L,34,20,6
Bruno Caboclo,TOR,12/03/2016,TOR vs. ATL,W,4,0,6
Paul Zipser,CHI,12/03/2016,CHI @ DAL,L,4,0,-7
PJ Tucker,PHX,12/03/2016,PHX @ GSW,L,28,9,-17
Cole Aldrich,MIN,12/03/2016,MIN @ CHA,W,22,4,3
Dante Exum,UTA,12/03/2016,UTA vs. DEN,W,22,10,1
Tony Allen,MEM,12/03/2016,MEM vs. LAL,W,24,8,2
Tony Snell,MIL,12/03/2016,MIL vs. BKN,W,27,10,8
Isaiah Thomas,BOS,12/03/2016,BOS @ PHI,W,33,37,4
Jared Dudley,PHX,12/03/2016,PHX @ GSW,L,13,2,-24
Shaun Livingston,GSW,12/03/2016,GSW vs. PHX,W,18,4,16
Marquese Chriss,PHX,12/03/2016,PHX @ GSW,L,25,11,-1
Boris Diaw,UTA,12/03/2016,UTA vs. DEN,W,23,4,19
Jusuf Nurkic,DEN,12/03/2016,DEN @ UTA,L,13,8,-11
Thabo Sefolosha,ATL,12/03/2016,ATL @ TOR,L,23,8,-19
Randy Foye,BKN,12/03/2016,BKN @ MIL,L,20,5,1
Gerald Henderson,PHI,12/03/2016,PHI vs. BOS,L,32,13,10
Bojan Bogdanovic,BKN,12/03/2016,BKN @ MIL,L,32,24,-15
Kevon Looney,GSW,12/03/2016,GSW vs. PHX,W,7,4,5
DeMar DeRozan,TOR,12/03/2016,TOR vs. ATL,W,31,21,13
Noah Vonleh,POR,12/03/2016,POR vs. MIA,W,4,1,2
Willie Reed,MIA,12/03/2016,MIA @ POR,L,7,3,-10
Malcolm Brogdon,MIL,12/03/2016,MIL vs. BKN,W,21,5,-4
Troy Williams,MEM,12/03/2016,MEM vs. LAL,W,35,7,0
Al Horford,BOS,12/03/2016,BOS @ PHI,W,34,11,-9
Kemba Walker,CHA,12/03/2016,CHA vs. MIN,L,37,22,5
Shabazz Muhammad,MIN,12/03/2016,MIN @ CHA,W,25,12,10
Nicolas Brussino,DAL,12/03/2016,DAL vs. CHI,W,2,0,5
Amir Johnson,BOS,12/03/2016,BOS @ PHI,W,15,6,3
Josh McRoberts,MIA,12/03/2016,MIA @ POR,L,28,13,17
Darrell Arthur,DEN,12/03/2016,DEN @ UTA,L,12,3,-11
Evan Turner,POR,12/03/2016,POR vs. MIA,W,28,9,11
Dragan Bender,PHX,12/03/2016,PHX @ GSW,L,25,10,-19
Eric Bledsoe,PHX,12/03/2016,PHX @ GSW,L,30,27,-14
Wilson Chandler,DEN,12/03/2016,DEN @ UTA,L,41,20,4
Marco Belinelli,CHA,12/03/2016,CHA vs. MIN,L,23,15,0
Fred VanVleet,TOR,12/03/2016,TOR vs. ATL,W,4,5,6
JaVale McGee,GSW,12/03/2016,GSW vs. PHX,W,13,11,2
Brandon Knight,PHX,12/03/2016,PHX @ GSW,L,22,14,-28
John Henson,MIL,12/03/2016,MIL vs. BKN,W,27,20,20
Michael Beasley,MIL,12/03/2016,MIL vs. BKN,W,18,5,-8
Maurice Harkless,POR,12/03/2016,POR vs. MIA,W,33,17,-7
Solomon Hill,NOP,12/04/2016,NOP @ OKC,L,33,5,-15
Domantas Sabonis,OKC,12/04/2016,OKC vs. NOP,W,25,5,8
Jodie Meeks,ORL,12/04/2016,ORL @ DET,W,16,7,7
Joffrey Lauvergne,OKC,12/04/2016,OKC vs. NOP,W,18,4,-2
Aaron Gordon,ORL,12/04/2016,ORL @ DET,W,22,10,-12
Willy Hernangomez,NYK,12/04/2016,NYK vs. SAC,W,12,4,12
Garrett Temple,SAC,12/04/2016,SAC @ NYK,L,18,5,-11
Rodney Stuckey,IND,12/04/2016,IND @ LAC,W,21,16,5
Jeff Green,ORL,12/04/2016,ORL @ DET,W,30,14,13
Buddy Hield,NOP,12/04/2016,NOP @ OKC,L,15,16,9
Semaj Christon,OKC,12/04/2016,OKC vs. NOP,W,11,2,-2
Terrence Jones,NOP,12/04/2016,NOP @ OKC,L,25,9,2
CJ Miles,IND,12/04/2016,IND @ LAC,W,15,12,18
Reggie Jackson,DET,12/04/2016,DET vs. ORL,L,23,18,4
DeAndre Jordan,LAC,12/04/2016,LAC vs. IND,L,35,9,6
Kristaps Porzingis,NYK,12/04/2016,NYK vs. SAC,W,35,15,11
Brandon Jennings,NYK,12/04/2016,NYK vs. SAC,W,26,19,10
Wesley Johnson,LAC,12/04/2016,LAC vs. IND,L,3,0,-7
Evan Fournier,ORL,12/04/2016,ORL @ DET,W,32,5,0
Monta Ellis,IND,12/04/2016,IND @ LAC,W,35,14,13
Justin Holiday,NYK,12/04/2016,NYK vs. SAC,W,23,5,-2
Jon Leuer,DET,12/04/2016,DET vs. ORL,L,26,8,-9
Raymond Felton,LAC,12/04/2016,LAC vs. IND,L,14,4,-17
Austin Rivers,LAC,12/04/2016,LAC vs. IND,L,15,5,-21
Darren Collison,SAC,12/04/2016,SAC @ NYK,L,39,13,8
Willie Cauley-Stein,SAC,12/04/2016,SAC @ NYK,L,23,9,13
Chris Paul,LAC,12/04/2016,LAC vs. IND,L,35,18,8
Aron Baynes,DET,12/04/2016,DET vs. ORL,L,13,2,-7
Myles Turner,IND,12/04/2016,IND @ LAC,W,30,12,8
Anthony Davis,NOP,12/04/2016,NOP @ OKC,L,43,37,-10
Anthony Morrow,OKC,12/04/2016,OKC vs. NOP,W,25,2,6
Kyle O'Quinn,NYK,12/04/2016,NYK vs. SAC,W,14,4,1
Marcus Morris,DET,12/04/2016,DET vs. ORL,L,35,21,-1
Ish Smith,DET,12/04/2016,DET vs. ORL,L,25,11,-10
D.J. Augustin,ORL,12/04/2016,ORL @ DET,W,25,12,-1
Paul Pierce,LAC,12/04/2016,LAC vs. IND,L,8,0,-7
Anthony Brown,NOP,12/04/2016,NOP @ OKC,L,19,3,-3
Lavoy Allen,IND,12/04/2016,IND @ LAC,W,3,0,-4
Lance Thomas,NYK,12/04/2016,NYK vs. SAC,W,17,9,-3
DeMarcus Cousins,SAC,12/04/2016,SAC @ NYK,L,43,36,1
Tobias Harris,DET,12/04/2016,DET vs. ORL,L,35,11,-2
Andre Drummond,DET,12/04/2016,DET vs. ORL,L,35,10,1
Glenn Robinson III,IND,12/04/2016,IND @ LAC,W,14,0,15
Serge Ibaka,ORL,12/04/2016,ORL @ DET,W,34,21,4
Rudy Gay,SAC,12/04/2016,SAC @ NYK,L,35,22,4
Al Jefferson,IND,12/04/2016,IND @ LAC,W,18,6,3
Russell Westbrook,OKC,12/04/2016,OKC vs. NOP,W,38,28,13
Joakim Noah,NYK,12/04/2016,NYK vs. SAC,W,25,2,-4
Ty Lawson,SAC,12/04/2016,SAC @ NYK,L,9,0,-16
Stanley Johnson,DET,12/04/2016,DET vs. ORL,L,2,0,-2
Sasha Vujacic,NYK,12/04/2016,NYK vs. SAC,W,16,5,8
Aaron Brooks,IND,12/04/2016,IND @ LAC,W,5,3,4
Mindaugas Kuzminskas,NYK,12/04/2016,NYK vs. SAC,W,4,3,-6
Blake Griffin,LAC,12/04/2016,LAC vs. IND,L,34,24,9
Arron Afflalo,SAC,12/04/2016,SAC @ NYK,L,17,3,-11
Luc Mbah a Moute,LAC,12/04/2016,LAC vs. IND,L,27,7,-7
E'Twaun Moore,NOP,12/04/2016,NOP @ OKC,L,23,10,-17
Jerami Grant,OKC,12/04/2016,OKC vs. NOP,W,14,8,1
Tim Frazier,NOP,12/04/2016,NOP @ OKC,L,16,0,4
Bismack Biyombo,ORL,12/04/2016,ORL @ DET,W,30,5,0
Carmelo Anthony,NYK,12/04/2016,NYK vs. SAC,W,36,20,15
JJ Redick,LAC,12/04/2016,LAC vs. IND,L,31,15,7
Paul George,IND,12/04/2016,IND @ LAC,W,34,16,-6
Nikola Vucevic,ORL,12/04/2016,ORL @ DET,W,28,16,12
Kentavious Caldwell-Pope,DET,12/04/2016,DET vs. ORL,L,34,9,13
Marreese Speights,LAC,12/04/2016,LAC vs. IND,L,12,6,-15
Matt Barnes,SAC,12/04/2016,SAC @ NYK,L,17,2,-21
Elfrid Payton,ORL,12/04/2016,ORL @ DET,W,23,8,7
Steven Adams,OKC,12/04/2016,OKC vs. NOP,W,9,7,6
Enes Kanter,OKC,12/04/2016,OKC vs. NOP,W,30,17,3
Omer Asik,NOP,12/04/2016,NOP @ OKC,L,16,0,-7
Langston Galloway,NOP,12/04/2016,NOP @ OKC,L,13,2,6
Thaddeus Young,IND,12/04/2016,IND @ LAC,W,30,17,-7
Andre Roberson,OKC,12/04/2016,OKC vs. NOP,W,37,13,7
Victor Oladipo,OKC,12/04/2016,OKC vs. NOP,W,35,15,5
Darrun Hilliard,DET,12/04/2016,DET vs. ORL,L,12,2,-17
Jrue Holiday,NOP,12/04/2016,NOP @ OKC,L,36,10,-14
Kosta Koufos,SAC,12/04/2016,SAC @ NYK,L,19,2,-9
Jeff Teague,IND,12/04/2016,IND @ LAC,W,35,15,-4
Omri Casspi,SAC,12/04/2016,SAC @ NYK,L,20,6,2
Jamal Crawford,LAC,12/04/2016,LAC vs. IND,L,27,14,-1
Derrick Rose,NYK,12/04/2016,NYK vs. SAC,W,34,20,-2
Jabari Parker,MIL,12/05/2016,MIL vs. SAS,L,34,23,-5
Jonathan Gibson,DAL,12/05/2016,DAL vs. CHA,L,18,13,-11
Shelvin Mack,UTA,12/05/2016,UTA @ LAL,W,30,10,-2
Tomas Satoransky,WAS,12/05/2016,WAS @ BKN,W,4,0,-5
Joe Johnson,UTA,12/05/2016,UTA @ LAL,W,19,2,-16
Rudy Gobert,UTA,12/05/2016,UTA @ LAL,W,39,14,10
Stephen Curry,GSW,12/05/2016,GSW vs. IND,W,29,13,24
Kent Bazemore,ATL,12/05/2016,ATL vs. OKC,L,18,0,-4
Zaza Pachulia,GSW,12/05/2016,GSW vs. IND,W,18,3,17
Jerian Grant,CHI,12/05/2016,CHI vs. POR,L,23,5,5
Trey Burke,WAS,12/05/2016,WAS @ BKN,W,12,8,-1
Greg Monroe,MIL,12/05/2016,MIL vs. SAS,L,21,10,2
LaMarcus Aldridge,SAS,12/05/2016,SAS @ MIL,W,36,18,13
Buddy Hield,NOP,12/05/2016,NOP vs. MEM,L,24,8,-13
Amir Johnson,BOS,12/05/2016,BOS @ HOU,L,5,0,-2
Montrezl Harrell,HOU,12/05/2016,HOU vs. BOS,W,19,7,13
Alonzo Gee,DEN,12/05/2016,DEN @ PHI,W,1,0,-2
Dewayne Dedmon,SAS,12/05/2016,SAS @ MIL,W,14,10,6
Cory Joseph,TOR,12/05/2016,TOR vs. CLE,L,13,7,1
Justin Hamilton,BKN,12/05/2016,BKN vs. WAS,L,13,2,-9
Channing Frye,CLE,12/05/2016,CLE @ TOR,W,19,10,-3
Dorian Finney-Smith,DAL,12/05/2016,DAL vs. CHA,L,26,1,-13
Brook Lopez,BKN,12/05/2016,BKN vs. WAS,L,31,25,3
David West,GSW,12/05/2016,GSW vs. IND,W,9,4,0
Deyonta Davis,MEM,12/05/2016,MEM @ NOP,W,6,0,-6
Will Barton,DEN,12/05/2016,DEN @ PHI,W,36,22,5
Corey Brewer,HOU,12/05/2016,HOU vs. BOS,W,13,1,-2
Boris Diaw,UTA,12/05/2016,UTA @ LAL,W,26,12,19
Pascal Siakam,TOR,12/05/2016,TOR vs. CLE,L,18,6,-21
Lucas Nogueira,TOR,12/05/2016,TOR vs. CLE,L,15,6,8
Draymond Green,GSW,12/05/2016,GSW vs. IND,W,27,2,24
Jusuf Nurkic,DEN,12/05/2016,DEN @ PHI,W,24,8,-5
Sam Dekker,HOU,12/05/2016,HOU vs. BOS,W,18,5,-10
Pau Gasol,SAS,12/05/2016,SAS @ MIL,W,27,15,-9
Marco Belinelli,CHA,12/05/2016,CHA @ DAL,W,30,16,4
Iman Shumpert,CLE,12/05/2016,CLE @ TOR,W,20,2,-12
Lou Williams,LAL,12/05/2016,LAL vs. UTA,L,34,38,22
Dennis Schroder,ATL,12/05/2016,ATL vs. OKC,L,34,17,-3
Kyle Korver,ATL,12/05/2016,ATL vs. OKC,L,32,15,6
Toney Douglas,MEM,12/05/2016,MEM @ NOP,W,8,0,-3
Mike Dunleavy,CLE,12/05/2016,CLE @ TOR,W,7,0,2
Bradley Beal,WAS,12/05/2016,WAS @ BKN,W,36,18,17
Allen Crabbe,POR,12/05/2016,POR @ CHI,W,33,17,13
Joe Ingles,UTA,12/05/2016,UTA @ LAL,W,12,7,-9
Nene,HOU,12/05/2016,HOU vs. BOS,W,8,1,-2
Andrew Bogut,DAL,12/05/2016,DAL vs. CHA,L,11,0,3
Klay Thompson,GSW,12/05/2016,GSW vs. IND,W,29,60,37
Semaj Christon,OKC,12/05/2016,OKC @ ATL,W,14,2,7
Dwyane Wade,CHI,12/05/2016,CHI vs. POR,L,36,34,9
Nikola Mirotic,CHI,12/05/2016,CHI vs. POR,L,27,18,-3
John Wall,WAS,12/05/2016,WAS @ BKN,W,36,25,6
Paul George,IND,12/05/2016,IND @ GSW,L,31,21,-33
Steven Adams,OKC,12/05/2016,OKC @ ATL,W,28,12,6
Manu Ginobili,SAS,12/05/2016,SAS @ MIL,W,21,6,9
Randy Foye,BKN,12/05/2016,BKN vs. WAS,L,15,8,8
Monta Ellis,IND,12/05/2016,IND @ GSW,L,28,9,-26
Spencer Hawes,CHA,12/05/2016,CHA @ DAL,W,8,4,0
DeMar DeRozan,TOR,12/05/2016,TOR vs. CLE,L,39,31,-5
Tim Hardaway Jr.,ATL,12/05/2016,ATL vs. OKC,L,26,12,-1
Markieff Morris,WAS,12/05/2016,WAS @ BKN,W,33,16,16
Patrick Patterson,TOR,12/05/2016,TOR vs. CLE,L,30,12,17
CJ McCollum,POR,12/05/2016,POR @ CHI,W,30,24,-9
Metta World Peace,LAL,12/05/2016,LAL vs. UTA,L,12,4,-26
Luol Deng,LAL,12/05/2016,LAL vs. UTA,L,27,5,-22
Timofey Mozgov,LAL,12/05/2016,LAL vs. UTA,L,20,10,-17
Ian Clark,GSW,12/05/2016,GSW vs. IND,W,19,11,-1
Jameer Nelson,DEN,12/05/2016,DEN @ PHI,W,30,7,16
Kelly Oubre Jr.,WAS,12/05/2016,WAS @ BKN,W,18,10,-11
Bobby Portis,CHI,12/05/2016,CHI vs. POR,L,6,0,-5
Deron Williams,DAL,12/05/2016,DAL vs. CHA,L,37,15,-2
Juan Hernangomez,DEN,12/05/2016,DEN @ PHI,W,5,0,0
Malcolm Brogdon,MIL,12/05/2016,MIL vs. SAS,L,16,2,-6
David Lee,SAS,12/05/2016,SAS @ MIL,W,9,2,-10
Dwight Howard,ATL,12/05/2016,ATL vs. OKC,L,19,6,1
Tristan Thompson,CLE,12/05/2016,CLE @ TOR,W,29,6,7
Bojan Bogdanovic,BKN,12/05/2016,BKN vs. WAS,L,29,18,-21
Frank Kaminsky,CHA,12/05/2016,CHA @ DAL,W,23,6,-2
Robin Lopez,CHI,12/05/2016,CHI vs. POR,L,33,7,6
Maurice Harkless,POR,12/05/2016,POR @ CHI,W,31,11,0
Omer Asik,NOP,12/05/2016,NOP vs. MEM,L,13,1,-12
Anthony Brown,NOP,12/05/2016,NOP vs. MEM,L,29,9,9
Langston Galloway,NOP,12/05/2016,NOP vs. MEM,L,36,26,9
Richaun Holmes,PHI,12/05/2016,PHI vs. DEN,L,18,11,5
Andrew Nicholson,WAS,12/05/2016,WAS @ BKN,W,7,0,-2
Denzel Valentine,CHI,12/05/2016,CHI vs. POR,L,22,2,-10
James Harden,HOU,12/05/2016,HOU vs. BOS,W,35,37,3
Wilson Chandler,DEN,12/05/2016,DEN @ PHI,W,26,10,7
Nicolas Laprovittola,SAS,12/05/2016,SAS @ MIL,W,9,3,9
Thaddeus Young,IND,12/05/2016,IND @ GSW,L,23,10,-23
Giannis Antetokounmpo,MIL,12/05/2016,MIL vs. SAS,L,29,22,-3
Russell Westbrook,OKC,12/05/2016,OKC @ ATL,W,34,32,-4
Damian Lillard,POR,12/05/2016,POR @ CHI,W,34,30,1
Tony Snell,MIL,12/05/2016,MIL vs. SAS,L,35,4,-2
Al-Farouq Aminu,POR,12/05/2016,POR @ CHI,W,17,3,4
Clint Capela,HOU,12/05/2016,HOU vs. BOS,W,22,11,-10
Wade Baldwin IV,MEM,12/05/2016,MEM @ NOP,W,21,4,-10
Andrew Harrison,MEM,12/05/2016,MEM @ NOP,W,40,12,14
Emmanuel Mudiay,DEN,12/05/2016,DEN @ PHI,W,21,4,0
Michael Kidd-Gilchrist,CHA,12/05/2016,CHA @ DAL,W,28,11,2
Thabo Sefolosha,ATL,12/05/2016,ATL vs. OKC,L,33,6,1
Jaylen Brown,BOS,12/05/2016,BOS @ HOU,L,19,7,4
Jae Crowder,BOS,12/05/2016,BOS @ HOU,L,36,12,-6
Kevin Durant,GSW,12/05/2016,GSW vs. IND,W,22,20,15
Jeremy Lamb,CHA,12/05/2016,CHA @ DAL,W,21,14,11
Troy Daniels,MEM,12/05/2016,MEM @ NOP,W,44,29,3
DeAndre Liggins,CLE,12/05/2016,CLE @ TOR,W,21,5,12
Darrell Arthur,DEN,12/05/2016,DEN @ PHI,W,23,7,14
Danilo Gallinari,DEN,12/05/2016,DEN @ PHI,W,38,24,0
Rondae Hollis-Jefferson,BKN,12/05/2016,BKN vs. WAS,L,23,5,1
Enes Kanter,OKC,12/05/2016,OKC @ ATL,W,15,10,-3
Victor Oladipo,OKC,12/05/2016,OKC @ ATL,W,36,14,-5
Joe Harris,BKN,12/05/2016,BKN vs. WAS,L,28,8,16
Taj Gibson,CHI,12/05/2016,CHI vs. POR,L,27,8,-5
Troy Williams,MEM,12/05/2016,MEM @ NOP,W,20,11,-7
Jimmy Butler,CHI,12/05/2016,CHI vs. POR,L,37,26,2
Andre Iguodala,GSW,12/05/2016,GSW vs. IND,W,19,3,18
Trevor Ariza,HOU,12/05/2016,HOU vs. BOS,W,33,15,7
Anthony Morrow,OKC,12/05/2016,OKC @ ATL,W,26,15,6
Jonas Valanciunas,TOR,12/05/2016,TOR vs. CLE,L,25,4,-16
Myles Turner,IND,12/05/2016,IND @ GSW,L,24,6,-28
Gordon Hayward,UTA,12/05/2016,UTA @ LAL,W,36,23,18
Tarik Black,LAL,12/05/2016,LAL vs. UTA,L,12,7,0
Avery Bradley,BOS,12/05/2016,BOS @ HOU,L,35,16,1
Tim Frazier,NOP,12/05/2016,NOP vs. MEM,L,39,8,-6
Harrison Barnes,DAL,12/05/2016,DAL vs. CHA,L,38,29,4
Jonathon Simmons,SAS,12/05/2016,SAS @ MIL,W,24,6,3
Cody Zeller,CHA,12/05/2016,CHA @ DAL,W,24,12,4
Marcus Smart,BOS,12/05/2016,BOS @ HOU,L,27,13,1
Glenn Robinson III,IND,12/05/2016,IND @ GSW,L,17,6,-3
Michael Beasley,MIL,12/05/2016,MIL vs. SAS,L,14,8,-1
Dante Exum,UTA,12/05/2016,UTA @ LAL,W,18,10,8
Kelly Olynyk,BOS,12/05/2016,BOS @ HOU,L,15,7,6
Domantas Sabonis,OKC,12/05/2016,OKC @ ATL,W,19,4,12
Al Jefferson,IND,12/05/2016,IND @ GSW,L,8,4,-5
Kevin Seraphin,IND,12/05/2016,IND @ GSW,L,15,4,-3
Jeff Withey,UTA,12/05/2016,UTA @ LAL,W,5,4,0
Alexis Ajinca,NOP,12/05/2016,NOP vs. MEM,L,21,9,14
Evan Turner,POR,12/05/2016,POR @ CHI,W,29,10,8
Wesley Matthews,DAL,12/05/2016,DAL vs. CHA,L,35,16,2
Brandon Ingram,LAL,12/05/2016,LAL vs. UTA,L,25,4,-8
Dario Saric,PHI,12/05/2016,PHI vs. DEN,L,25,17,-15
Jason Terry,MIL,12/05/2016,MIL vs. SAS,L,13,0,1
Rodney Stuckey,IND,12/05/2016,IND @ GSW,L,20,7,-10
Isaiah Whitehead,BKN,12/05/2016,BKN vs. WAS,L,24,6,-11
Marcus Thornton,WAS,12/05/2016,WAS @ BKN,W,18,11,-13
Jerami Grant,OKC,12/05/2016,OKC @ ATL,W,25,6,-12
Malcolm Delaney,ATL,12/05/2016,ATL vs. OKC,L,14,6,0
Patty Mills,SAS,12/05/2016,SAS @ MIL,W,21,1,-2
James Michael McAdoo,GSW,12/05/2016,GSW vs. IND,W,8,2,6
Ersan Ilyasova,PHI,12/05/2016,PHI vs. DEN,L,36,17,-1
JaVale McGee,GSW,12/05/2016,GSW vs. IND,W,15,9,3
Jason Smith,WAS,12/05/2016,WAS @ BKN,W,8,2,-3
Isaiah Thomas,BOS,12/05/2016,BOS @ HOU,L,33,20,-7
Norman Powell,TOR,12/05/2016,TOR vs. CLE,L,5,0,1
Shaun Livingston,GSW,12/05/2016,GSW vs. IND,W,14,4,16
Otto Porter Jr.,WAS,12/05/2016,WAS @ BKN,W,36,18,13
DeMarre Carroll,TOR,12/05/2016,TOR vs. CLE,L,33,8,-11
Kenneth Faried,DEN,12/05/2016,DEN @ PHI,W,13,2,-7
Marc Gasol,MEM,12/05/2016,MEM @ NOP,W,46,28,9
Joel Embiid,PHI,12/05/2016,PHI vs. DEN,L,26,16,-9
Nicolas Batum,CHA,12/05/2016,CHA @ DAL,W,37,14,2
Solomon Hill,NOP,12/05/2016,NOP vs. MEM,L,47,9,-7
Richard Jefferson,CLE,12/05/2016,CLE @ TOR,W,16,5,-3
Lavoy Allen,IND,12/05/2016,IND @ GSW,L,10,2,-6
Meyers Leonard,POR,12/05/2016,POR @ CHI,W,12,2,1
LeBron James,CLE,12/05/2016,CLE @ TOR,W,42,34,9
Sergio Rodriguez,PHI,12/05/2016,PHI vs. DEN,L,33,17,5
Kyle Anderson,SAS,12/05/2016,SAS @ MIL,W,4,2,-5
Julius Randle,LAL,12/05/2016,LAL vs. UTA,L,37,11,-8
Mike Muscala,ATL,12/05/2016,ATL vs. OKC,L,22,11,-6
Matthew Dellavedova,MIL,12/05/2016,MIL vs. SAS,L,32,8,5
Paul Millsap,ATL,12/05/2016,ATL vs. OKC,L,39,24,-3
Salah Mejri,DAL,12/05/2016,DAL vs. CHA,L,8,0,-1
JaMychal Green,MEM,12/05/2016,MEM @ NOP,W,43,5,15
Kawhi Leonard,SAS,12/05/2016,SAS @ MIL,W,31,21,4
Kris Humphries,ATL,12/05/2016,ATL vs. OKC,L,4,2,-6
Rodney Hood,UTA,12/05/2016,UTA @ LAL,W,31,16,15
Trevor Booker,BKN,12/05/2016,BKN vs. WAS,L,31,14,-14
Timothe Luwawu-Cabarrot,PHI,12/05/2016,PHI vs. DEN,L,10,2,-3
T.J. McConnell,PHI,12/05/2016,PHI vs. DEN,L,15,0,-13
Gerald Henderson,PHI,12/05/2016,PHI vs. DEN,L,26,14,0
CJ Miles,IND,12/05/2016,IND @ GSW,L,18,9,-7
Devin Harris,DAL,12/05/2016,DAL vs. CHA,L,18,7,-2
Jeff Teague,IND,12/05/2016,IND @ GSW,L,26,16,-27
Anthony Bennett,BKN,12/05/2016,BKN vs. WAS,L,13,6,4
Jamal Murray,DEN,12/05/2016,DEN @ PHI,W,24,22,12
Al Horford,BOS,12/05/2016,BOS @ HOU,L,35,21,-7
Jordan Clarkson,LAL,12/05/2016,LAL vs. UTA,L,38,17,12
Patrick Beverley,HOU,12/05/2016,HOU vs. BOS,W,32,9,-3
Marcelo Huertas,LAL,12/05/2016,LAL vs. UTA,L,18,2,6
Aaron Brooks,IND,12/05/2016,IND @ GSW,L,12,0,-3
Thomas Robinson,LAL,12/05/2016,LAL vs. UTA,L,16,3,11
Isaiah Canaan,CHI,12/05/2016,CHI vs. POR,L,29,10,-9
Dwight Powell,DAL,12/05/2016,DAL vs. CHA,L,32,15,-7
Joe Young,IND,12/05/2016,IND @ GSW,L,10,12,-6
Justin Anderson,DAL,12/05/2016,DAL vs. CHA,L,17,5,-13
Mason Plumlee,POR,12/05/2016,POR @ CHI,W,23,10,-10
Anthony Davis,NOP,12/05/2016,NOP vs. MEM,L,48,28,-5
John Henson,MIL,12/05/2016,MIL vs. SAS,L,26,8,-1
Terrence Jones,NOP,12/05/2016,NOP vs. MEM,L,32,10,1
Kyrie Irving,CLE,12/05/2016,CLE @ TOR,W,37,24,1
Jonas Jerebko,BOS,12/05/2016,BOS @ HOU,L,21,6,2
Eric Gordon,HOU,12/05/2016,HOU vs. BOS,W,31,19,1
JR Smith,CLE,12/05/2016,CLE @ TOR,W,10,2,5
Roy Hibbert,CHA,12/05/2016,CHA @ DAL,W,22,6,11
Ryan Anderson,HOU,12/05/2016,HOU vs. BOS,W,29,2,8
Kemba Walker,CHA,12/05/2016,CHA @ DAL,W,35,19,2
Danny Green,SAS,12/05/2016,SAS @ MIL,W,19,6,-5
Terrence Ross,TOR,12/05/2016,TOR vs. CLE,L,22,14,11
Tony Parker,SAS,12/05/2016,SAS @ MIL,W,18,6,-6
Mirza Teletovic,MIL,12/05/2016,MIL vs. SAS,L,20,11,5
Davis Bertans,SAS,12/05/2016,SAS @ MIL,W,8,1,-2
Kevon Looney,GSW,12/05/2016,GSW vs. IND,W,14,2,7
Kyle Lowry,TOR,12/05/2016,TOR vs. CLE,L,40,24,-5
Ed Davis,POR,12/05/2016,POR @ CHI,W,30,5,2
Ramon Sessions,CHA,12/05/2016,CHA @ DAL,W,13,7,6
Kevin Love,CLE,12/05/2016,CLE @ TOR,W,38,28,2
Marcin Gortat,WAS,12/05/2016,WAS @ BKN,W,33,10,8
Terry Rozier,BOS,12/05/2016,BOS @ HOU,L,14,4,3
Patrick McCaw,GSW,12/05/2016,GSW vs. IND,W,15,9,14
